iata_code,airport_name,city,country,latitude,longitude
JJH,Black-Pratt Airport,Michaelshire,Jordan,27.533284,-6.429664
PYF,Gregory-Hill Airport,North William,Marshall Islands,55.816524,-177.214924
ISN,Lynn Inc Airport,Martinezshire,Lao People's Democratic Republic,35.902587,5.924642
PWF,Horton Inc Airport,Rojasborough,Hong Kong,-43.070350,-165.702784
KBL,Becker and Sons Airport,Lake Juanmouth,Burundi,-2.890650,-94.954142
PZL,Golden-Rivera Airport,Karenstad,Falkland Islands (Malvinas),40.194062,15.646046
ADD,Ward Group Airport,North Sarahside,Bahrain,67.946642,-34.764307
MXJ,"Williams, Bonilla and Norris Airport",North Edwardchester,Belize,-60.967881,16.389731
POA,"Williams, Foster and Erickson Airport",Port Mariah,Liechtenstein,-41.064900,-147.666414
YQZ,"Cox, Warner and Contreras Airport",Tyroneborough,Sao Tome and Principe,60.680044,-57.854257
ARG,Cross Inc Airport,New Shellyland,Montenegro,66.836504,151.923215
YVI,Espinoza-Nguyen Airport,Kellyburgh,Lithuania,-61.964592,-172.705378
FLI,Smith Group Airport,Marytown,United States of America,-34.030202,-139.598679
UPL,Lewis PLC Airport,East Jamesview,Netherlands,-16.696945,173.782377
VDL,"Buck, Dunlap and Preston Airport",South Anthonyhaven,Dominican Republic,-70.619198,-142.199079
HQN,Harris and Sons Airport,Lucasfort,Palestinian Territory,21.031076,157.120675
JCW,Duncan-Clarke Airport,North Jeffrey,Libyan Arab Jamahiriya,19.618695,126.837193
IRZ,Gill-Rogers Airport,Morsefurt,Burundi,15.858542,54.583526
DFK,Carey-Newton Airport,North Jennifermouth,Spain,-12.590312,-43.788615
LJD,"Liu, Mendez and Smith Airport",Kellyburgh,Sweden,48.679726,-164.431039
YQC,Smith-Espinoza Airport,Port Alejandroberg,Faroe Islands,-13.277876,133.883816
HLV,"Cuevas, Farmer and Grant Airport",Stephenview,China,68.636893,54.727146
YCJ,Melton-Gomez Airport,Cervantesport,Martinique,41.794776,5.051380
DJC,"Mendoza, Mckinney and Salazar Airport",New Elizabethbury,Grenada,-61.775804,91.065847
VWA,Richardson-Young Airport,East Jacobborough,Brunei Darussalam,-6.883614,-65.074907
WBY,Walsh Ltd Airport,New Zacharyfort,Slovakia (Slovak Republic),5.135864,121.727940
GMY,Martin-Alvarez Airport,Meganhaven,Saint Helena,-48.886097,3.032247
UOT,Bailey Inc Airport,Millerfurt,British Virgin Islands,24.786923,-163.420878
WOW,Gonzalez Ltd Airport,Christineview,Lithuania,-62.037224,94.319966
NHK,Leon Group Airport,South Nicole,Burkina Faso,12.402750,11.407198
NCS,Wilson Ltd Airport,Lake Jennifer,Tajikistan,-16.115816,91.073289
VDV,"Winters, Ferguson and Payne Airport",West Katherinefurt,Austria,-85.690228,-153.197999
NZH,Thomas Group Airport,Andersenberg,Puerto Rico,66.176610,164.679197
WJY,Harper Ltd Airport,Edwardsberg,Algeria,-45.360230,122.676309
PXO,Rodriguez LLC Airport,West Wendy,Azerbaijan,-75.466117,-117.950084
TYD,Hart-Davis Airport,Larsonside,Costa Rica,55.985548,18.774486
WFY,"Lee, Powers and Sutton Airport",West Laurenhaven,Saudi Arabia,-77.701691,163.506172
QSB,Rivera LLC Airport,Smithchester,Bosnia and Herzegovina,74.846376,123.863424
GDI,Boyer Ltd Airport,Claireton,Gambia,-82.441434,26.205556
OMB,Peterson Inc Airport,Port Pamela,Pitcairn Islands,47.901846,-109.776509
YXL,Roberts-Williams Airport,Stokesmouth,Nigeria,-2.084836,179.753743
FVZ,Lin-Rogers Airport,New Kimberly,Poland,69.249470,94.384358
MBF,"Alvarez, Garrison and Hinton Airport",South Jillbury,Argentina,85.907660,-0.107313
QCE,"Saunders, Romero and Martinez Airport",New Marc,Guadeloupe,-21.373948,-124.256270
CZS,Nicholson Group Airport,New Dana,South Africa,55.109768,-175.302359
RIA,"Rice, French and Monroe Airport",Mcdonaldtown,Indonesia,-71.516046,178.745569
RGI,"West, Fisher and Bates Airport",New Jamesfort,Romania,72.493921,-133.303914
HDB,Perez Inc Airport,Port Suzanneport,Denmark,-10.007433,113.639049
VJE,"Le, Ryan and Fisher Airport",West Alyssa,Slovakia (Slovak Republic),-32.713370,-3.906112
XXX,Graves-Randall Airport,Lake April,Brazil,-8.252612,164.046655
EFI,Newton Inc Airport,New Teresaport,Kyrgyz Republic,-20.666880,91.529418
JXT,Knight Inc Airport,Tylerborough,Niue,-13.823892,-138.357470
ZQD,Stokes-Mueller Airport,Port Tyler,Haiti,-5.138304,-110.020004
WFX,Waters PLC Airport,Jonesville,Costa Rica,-26.795950,53.088012
PCF,"Ford, Baldwin and Johnson Airport",Rodriguezbury,Jordan,22.017910,-34.338428
JLF,"Walker, Hernandez and Carr Airport",South Edwin,Cook Islands,82.672560,155.257290
KHS,Kirk Group Airport,Danielsview,Togo,-9.551355,-66.946247
JFB,Smith-Mills Airport,Waltonchester,Wallis and Futuna,-47.686218,90.539280
GYG,Bonilla PLC Airport,Heathertown,Tajikistan,11.540896,129.803535
CIX,Mathis LLC Airport,Michaelmouth,Saint Helena,-20.816174,-63.262477
YEQ,"Hunt, Hayes and Strickland Airport",Rebeccaburgh,Bhutan,62.308082,-6.434360
HPP,"Schroeder, Barnes and Morris Airport",Jonesshire,Sri Lanka,-54.354956,-50.152105
NIA,Vasquez and Sons Airport,Baldwinstad,Paraguay,-42.826704,-129.820839
EVK,"Adams, Martin and Drake Airport",Laurenhaven,Swaziland,-33.394150,33.942942
ZWR,Strong-Stephens Airport,Boonefurt,Ecuador,-84.462084,122.517819
BBP,Kidd and Sons Airport,Ashleyview,Egypt,-3.907820,12.243905
KKY,Sanford PLC Airport,Kleinstad,Dominica,-44.448836,87.697540
YLG,"Morrison, Jones and Armstrong Airport",Daltonmouth,Lao People's Democratic Republic,1.840960,8.155903
JOL,"Crosby, Frey and Wood Airport",Morrisbury,Switzerland,-84.412377,140.511656
USB,Park PLC Airport,South Michaelfurt,Philippines,58.046020,160.134766
HBT,Smith-Avila Airport,North Alanburgh,Belize,85.472961,152.953086
DYB,Bailey Ltd Airport,Kimfort,Cayman Islands,-39.965630,-137.675550
OSQ,Nelson-Massey Airport,Port Jessicamouth,Nigeria,-9.008827,174.802200
IMB,Wagner Group Airport,Lake Dylanchester,Thailand,16.799706,-14.617086
ZQS,"Cole, Miller and Berry Airport",East Spencertown,Bulgaria,13.117173,144.870286
VJF,Wood Inc Airport,Perrychester,Bermuda,-17.728134,-177.478946
WNG,Gallegos-Chang Airport,Lake Richard,Latvia,-89.270934,-139.188388
FYP,Mcmillan Group Airport,Marystad,Nauru,-55.840766,145.884886
VEG,Sullivan Inc Airport,East Jamesside,French Polynesia,76.514675,27.244614
HIM,"Jackson, Lopez and Guzman Airport",Williamsside,Samoa,11.644253,-170.504131
XXP,"Ramirez, Little and Mitchell Airport",Marshallview,Wallis and Futuna,57.207120,-122.087202
ESM,Schneider PLC Airport,Osbornetown,Costa Rica,47.289255,-113.110442
REY,"Santiago, Nelson and Nelson Airport",Davidmouth,Slovakia (Slovak Republic),89.910314,-117.601484
SBY,Martinez-Proctor Airport,Jimenezbury,Nigeria,-20.864278,-131.626948
ZYU,Shea Group Airport,Whiteside,Finland,60.897313,-165.517802
ATT,"Richmond, Bradley and Arnold Airport",West Robertshire,Central African Republic,4.007700,142.565117
UEQ,Malone Inc Airport,Jordanland,Comoros,-16.949034,124.200024
KEU,Brown-Douglas Airport,Weaverton,Gambia,-88.803572,31.829618
ZVC,"Malone, Frost and Long Airport",Kevinland,Uzbekistan,-86.664540,-17.652119
KTB,Friedman-Anderson Airport,Lloydton,Tonga,65.181384,66.038102
AMP,"Hill, Clark and Sanchez Airport",New Danielchester,Peru,26.439574,74.185685
IJR,Mcdaniel Group Airport,East Jason,Mayotte,42.866720,94.041464
PTX,"Anthony, Burke and Ward Airport",Davidburgh,Nauru,11.188266,164.252422
MDI,Hancock-Burton Airport,Hensonchester,Honduras,15.024564,-67.294442
BDP,Coleman-Solis Airport,Lake Bryan,Cuba,26.942893,-14.936120
MAY,Gonzalez-Lane Airport,East Joyport,Belize,66.119684,-37.816565
LSK,Hudson-Morton Airport,East Jenniferstad,Georgia,-39.752282,148.139979
UWV,Gutierrez and Sons Airport,New Curtis,Tonga,-29.915412,-130.129816
XJZ,Hogan and Sons Airport,Port Harold,Christmas Island,-28.408008,-106.793337
MTE,"Rich, Aguilar and Rivera Airport",Dunntown,Antarctica (the territory South of 60 deg S),-47.156246,-5.688413
EQO,"King, Waters and Davis Airport",Alicechester,Armenia,-46.941036,111.548587
GXR,"Becker, Dominguez and Booth Airport",North Natashafurt,Monaco,16.576906,-21.343466
WUC,Davis-White Airport,Feliciafort,Maldives,-19.320742,-115.349592
LIL,"Rodriguez, Taylor and Dunn Airport",East Jillfort,Ethiopia,-41.554064,40.416108
YOO,Phillips LLC Airport,Youngton,Denmark,16.069979,83.331444
QOV,"Anderson, Velasquez and Tapia Airport",South Lisa,China,81.837675,-83.795573
GIP,Livingston-Myers Airport,Wigginsmouth,Sri Lanka,0.488462,145.238773
FQK,Hart-Ward Airport,North Michael,Saudi Arabia,88.502126,113.511997
WAB,Clark and Sons Airport,Port Deniseshire,Spain,-89.317931,94.657516
HYA,Foley and Sons Airport,New Pamela,Gambia,1.538468,-87.648718
PCD,Shannon-Payne Airport,Maryshire,French Polynesia,-28.431749,147.572553
PFU,"Calderon, Bryant and Moore Airport",Jasonbury,Indonesia,44.575696,-114.998535
HHI,Thompson Group Airport,Philipberg,Antarctica (the territory South of 60 deg S),48.592610,42.702843
OKB,"Robles, Flores and Martin Airport",South William,Sudan,13.848803,66.657805
HTA,"Wiggins, Savage and Dyer Airport",South Michellebury,Sierra Leone,72.401739,-56.317171
DHI,Rogers LLC Airport,Natashaville,Burkina Faso,-60.537426,-92.635454
ZOI,"Bell, Smith and Simmons Airport",East Tracyfort,Honduras,84.429093,-96.888419
HAF,Kelly-Stewart Airport,East Cynthiafurt,Puerto Rico,62.685294,104.593656
ESM,Greene-Campbell Airport,New Luis,Thailand,-47.154308,125.041487
CAK,"Fowler, Carroll and Gonzales Airport",South Johnville,Cook Islands,-77.587898,-44.124214
RNH,"Finley, Delgado and Garcia Airport",Sanderschester,Palestinian Territory,25.302726,43.999790
LCV,"Black, Colon and Perez Airport",West Johnville,Faroe Islands,35.135500,9.133582
AAV,Cross-Pham Airport,Tinamouth,Djibouti,-62.468071,177.384325
SYZ,Anderson Inc Airport,Lake Joseph,Niue,-88.451447,-141.659979
KKB,Bowman PLC Airport,Port John,Mauritania,45.364308,7.524088
ZIA,Valencia-Palmer Airport,Glendaton,Dominican Republic,50.944676,20.675181
GQJ,"Smith, Eaton and Watson Airport",Timothyburgh,Russian Federation,-23.128666,89.854415
CJU,Campbell Group Airport,North Racheltown,Vanuatu,-57.558434,-169.079081
IDU,Arellano-Chavez Airport,Martinside,Lesotho,70.333072,-75.741887
GUL,"Moses, Garcia and Lee Airport",Lisachester,Iran,-23.857902,140.577392
EJA,Ferguson-Russell Airport,New Daryl,Antarctica (the territory South of 60 deg S),-64.589713,30.598212
XXL,Thomas-Cox Airport,Port Lisafort,Lesotho,-88.519482,17.664352
BWW,"Johnson, Aguilar and Sims Airport",West Ericafort,San Marino,79.327840,60.394455
LSY,Barker Ltd Airport,Riggsstad,Cote d'Ivoire,23.020045,-16.988180
QXG,Price and Sons Airport,Taylormouth,Botswana,22.337200,-125.473616
FXW,Wagner-Burke Airport,South Isabelburgh,Cook Islands,-87.496214,5.280242
BFW,Carroll Inc Airport,Herreraberg,Samoa,-37.213380,141.293076
CKY,Kelly Inc Airport,Tamaramouth,British Indian Ocean Territory (Chagos Archipelago),-76.753108,-65.510503
CFR,"Greene, Bell and Rodriguez Airport",Danielton,Niue,-83.635564,72.087505
TFW,"Gonzalez, Caldwell and Bennett Airport",Owensberg,Pitcairn Islands,-42.248662,-157.800189
SVW,White-Valdez Airport,South David,Eritrea,6.466764,-146.273030
SVO,"Ramirez, Williams and Moreno Airport",Sarahborough,Brazil,87.496406,-109.110577
NOK,Mathis LLC Airport,Daltonstad,Anguilla,27.075058,139.157842
GQH,"Parker, Miller and Crawford Airport",Carrport,Togo,-79.092803,123.684245
BJZ,"Beck, Clark and Long Airport",Manningland,Dominica,-19.736462,-167.887176
PBJ,Wright LLC Airport,West Michele,Congo,-58.000699,129.372568
PDY,Rodriguez-Robbins Airport,South Bryan,New Zealand,-29.313206,166.104732
ZVN,Solis-Fowler Airport,South Apriltown,Sao Tome and Principe,29.897472,-135.632154
HZB,"Vazquez, Fleming and Woods Airport",Zacharychester,Argentina,46.892814,76.222414
YPS,Jones Inc Airport,Herrerahaven,Qatar,-33.869815,-113.722275
IZH,"Ellis, Brady and James Airport",Hardyport,Sri Lanka,13.664034,-82.336175
XRZ,Clay LLC Airport,Lake William,Morocco,-43.661552,73.710733
AJQ,Nash Group Airport,Collinsfort,Uzbekistan,35.951228,-116.767534
IIM,"Kennedy, Hopkins and Stewart Airport",West Daniel,Norfolk Island,66.016154,-68.813689
BVL,Pennington and Sons Airport,Heatherhaven,Ireland,-13.666005,-37.919464
NSE,"Hayes, Huang and Townsend Airport",Wagnermouth,Mozambique,88.262592,114.755261
GVR,"Johnson, Hansen and Bradley Airport",Lake Amandahaven,France,33.324628,-73.264370
WTJ,"Bates, Smith and Lyons Airport",Michaelchester,Yemen,-8.219331,69.305957
ENE,"Hopkins, Campbell and Anderson Airport",Strongstad,San Marino,76.145236,-179.384967
YQK,Murray-Raymond Airport,East Kimberlystad,Micronesia,43.146772,-93.058967
HCG,"Fowler, Schwartz and Mullins Airport",Port Kristina,Saudi Arabia,-38.938562,-72.360678
XZR,Johnson-Curtis Airport,Meyersland,Holy See (Vatican City State),-76.716800,-140.809144
VTQ,Fernandez-Smith Airport,West Mark,Finland,71.753402,-108.803894
PNU,Martinez-Hernandez Airport,Vasquezborough,Comoros,-53.106752,-171.091314
IQS,Crawford-Mann Airport,West Bobside,United States of America,31.182838,-61.768935
MTD,Warren-Shaw Airport,South Johnfurt,Montserrat,38.578393,-114.140550
GFY,Mccann Ltd Airport,Snydertown,Iceland,9.054876,87.668193
IGG,Wright LLC Airport,Ramosshire,Chile,-12.527805,-160.781453
QBE,Newman LLC Airport,Stevenbury,Finland,-64.522154,-88.028164
DQV,Bowman Inc Airport,Munozton,Bahamas,87.969604,87.707115
WWX,Andrade-Orozco Airport,Williamside,France,-7.852492,-55.494422
MNE,Rowe and Sons Airport,Beardville,Rwanda,-84.078156,-82.140787
ZZX,Hunter-Sparks Airport,Lake Joshua,Fiji,84.902980,49.153868
VEN,Burns-Costa Airport,Whiteheadside,Kiribati,-51.642892,-15.709817
AVI,Green Group Airport,Lake Susanbury,Portugal,73.165636,-4.964406
XQT,Graham Group Airport,Holdenfurt,United States Minor Outlying Islands,-8.468785,177.149334
LLW,"Palmer, Jones and Wade Airport",Jamieside,French Southern Territories,14.430434,-126.821164
FBY,Pearson-Hoover Airport,Travisburgh,Germany,9.987529,-28.540170
NJY,Trujillo PLC Airport,Jenkinschester,Eritrea,-72.946080,-34.625177
PXI,"Stephens, Payne and Foster Airport",Jacobfurt,Gabon,-65.075656,-135.967888
PEG,"Schmidt, Martinez and Ray Airport",West Samantha,Jamaica,57.945258,101.794549
BIC,"Lester, Gilmore and Howell Airport",Port Nicole,Cameroon,52.216872,125.720765
FNH,"Odom, Harding and Wise Airport",Boyerside,Ethiopia,87.224588,22.366131
GMG,Brandt-Francis Airport,Robertbury,Timor-Leste,-77.308058,24.442226
PGC,Barber-Kelly Airport,West Frank,Malta,-45.746048,143.500700
YUK,"Harvey, Spears and Kelly Airport",Lopezside,Peru,12.514528,85.151426
DXU,Webb-Rodriguez Airport,Rothville,Denmark,-37.239331,152.380005
SWK,Alvarez-Collins Airport,Adamsborough,Belgium,-45.072668,-126.498907
TOF,Fox-Hayes Airport,Adamsview,Kazakhstan,17.394520,55.812499
AVG,Flynn-Johnson Airport,New Brandyfort,Brunei Darussalam,-19.095003,-127.825708
VZV,Haynes Group Airport,Diazshire,United Kingdom,20.208209,-109.691980
MFR,"Mueller, Baker and Ferguson Airport",South Ashley,British Virgin Islands,23.049756,31.080625
CVC,Perry-Moody Airport,Kelseyberg,Brunei Darussalam,87.759363,-30.116794
KXA,"Rush, Simmons and Kennedy Airport",West Tiffanybury,Wallis and Futuna,72.937847,-106.740921
GOY,Watkins-Hensley Airport,Johnchester,Paraguay,-80.626479,-59.754865
DUA,"Francis, Hernandez and Lowery Airport",Martinport,El Salvador,-31.726356,-38.947472
BPC,Morgan-Jones Airport,South Lori,Denmark,-44.543349,-108.884604
TOG,Elliott Ltd Airport,Michaelside,British Indian Ocean Territory (Chagos Archipelago),-20.624044,83.306566
YXK,"Norman, Lopez and Mckay Airport",West Regina,Turkey,-15.454958,-108.275376
WWZ,"Moran, Solis and Reed Airport",Ortizfurt,Croatia,57.858638,-0.799624
GME,Valdez-Hall Airport,West Lawrence,Eritrea,-24.301578,-178.701134
LVL,Bennett LLC Airport,Brianside,Estonia,83.836546,142.221169
VBX,"Rodriguez, Schmidt and Wheeler Airport",New Michelleshire,Svalbard & Jan Mayen Islands,27.607244,99.391295
URU,Davis-Montgomery Airport,Sarahborough,Congo,7.540970,66.598650
PMU,Harper LLC Airport,Donaldview,Iceland,55.542394,142.833899
ETN,Romero Ltd Airport,North Kurtport,Dominican Republic,79.642305,51.513709
IKN,Bowman LLC Airport,South Joshuaton,Azerbaijan,30.100922,60.963471
PJF,"Hamilton, Larson and Rojas Airport",New Brucechester,Andorra,-59.269070,-53.607423
QQQ,Brown Group Airport,Powersberg,Guatemala,-89.129472,95.031478
WQP,"Copeland, Levy and White Airport",Port Melindaport,Anguilla,47.031988,144.577569
NQF,"Powell, Baxter and Harris Airport",New Lori,Northern Mariana Islands,73.615834,-38.938831
UQZ,Long and Sons Airport,South Kimberly,Vanuatu,20.533134,156.137452
OEQ,Johnson-Yates Airport,Kiddberg,United States Virgin Islands,-34.585136,171.331550
PUX,King-Gray Airport,Lake Brandon,Norway,47.315767,129.310553
NLU,Houston-Phillips Airport,Lewismouth,Lesotho,45.306258,-48.718952
VPO,"Garcia, Paul and Stephenson Airport",Mirandabury,Falkland Islands (Malvinas),-89.341788,45.134254
NRW,Hanson-Williams Airport,Tiffanyshire,Venezuela,-1.659708,-40.609072
LTW,Gonzalez LLC Airport,Jamesfort,Malawi,-73.020926,118.771153
STG,Byrd and Sons Airport,Port Jerryville,United States of America,-5.543770,-167.673390
NBC,Jones PLC Airport,East Chris,Azerbaijan,-56.913828,-179.730767
YVG,"Davis, Baker and Miller Airport",North Rogerberg,Cayman Islands,-87.930938,22.589870
FXH,Gonzalez PLC Airport,Colleenport,Sao Tome and Principe,0.192702,6.229785
AFU,"Richmond, Lowe and Chapman Airport",Doyleside,Singapore,-39.881616,-58.391686
GMM,"Rivera, Gates and Murphy Airport",New Samuelstad,Japan,-56.546322,172.950739
HMF,Miller-Murray Airport,Port Stephen,Netherlands Antilles,-86.019152,-124.874688
WPV,Clark-Farley Airport,Brittanyhaven,Macao,44.549168,-129.177381
YGB,Clayton-Jackson Airport,South Elizabeth,Faroe Islands,3.831234,-160.631750
ALU,Martinez-Shepard Airport,New Deborahside,Cyprus,42.432110,71.776685
BAK,"Ford, Roberts and Taylor Airport",East Christopherview,Guam,53.298168,2.454420
QXE,"Smith, Gilbert and Morrison Airport",Port Scottview,Myanmar,80.160025,165.234035
RTX,Terry Group Airport,North Elizabethstad,Japan,34.260203,-97.768811
HII,Lewis LLC Airport,Lake Michaelfort,Ethiopia,80.317661,-8.258951
IXQ,Mathews Ltd Airport,Lake Jonathan,New Caledonia,-79.964174,-161.379377
KSN,Chan Inc Airport,Ramirezborough,Bermuda,-61.836003,118.636102
ZTK,Taylor-Guzman Airport,Rebeccaburgh,Guernsey,80.034446,-77.601909
FSU,Williams-Sexton Airport,Harrisburgh,Malta,-38.682136,105.660137
JCF,Bridges Group Airport,South Andreaberg,Eritrea,41.983658,-35.189337
FEG,"Townsend, Vaughn and Williamson Airport",South Steventown,Zimbabwe,14.584828,112.563684
HYF,Cruz Ltd Airport,Port Christychester,Turks and Caicos Islands,-31.013345,-109.107637
BHL,Garcia PLC Airport,Wilsonmouth,Cuba,-28.662295,21.408106
ZKF,Taylor Group Airport,North Peterport,Yemen,7.277184,10.169868
HTD,Klein-Williamson Airport,New Donald,Malaysia,68.096934,-22.559596
OPV,"Francis, Martin and Brennan Airport",Fowlerside,Bolivia,-54.021143,115.949323
TDJ,Miller Ltd Airport,Barrberg,Andorra,-88.623869,15.392159
JYR,"Hughes, Black and Wise Airport",Ortegafurt,Mali,-63.833270,-175.193481
RVX,Brooks-Myers Airport,Port Kathleenview,United States Virgin Islands,-38.826508,-51.539357
ZEF,"Pearson, Phillips and Bryant Airport",South Brittanyville,Italy,-38.523752,-121.241047
UDP,Cline Inc Airport,New Thomasport,Norfolk Island,88.169994,-15.929101
ACS,"Wilson, Woods and Hernandez Airport",Wolfport,Guatemala,-8.581944,-81.004739
IZA,Reed and Sons Airport,West Mariefort,Latvia,-30.333740,-87.350759
JWG,"Weber, Williams and Little Airport",Port Robertfort,Gambia,-69.947420,-45.873364
CYG,Lynch Inc Airport,Sandrachester,Marshall Islands,1.095063,60.435670
BTH,Smith Ltd Airport,Lake Sophiafort,Canada,71.876156,53.651375
OVA,"Miller, Clark and Grant Airport",Lake Robertburgh,Guadeloupe,-79.720064,-37.043122
ZDK,Butler-Bird Airport,Cranestad,Kazakhstan,82.282500,157.156225
EKX,Young Ltd Airport,Port Jenniferborough,Vietnam,0.340072,-154.204389
YDL,Caldwell-Lee Airport,Johnville,Yemen,-32.561286,156.776867
EMW,"Bush, George and Dudley Airport",Beckyborough,Guernsey,-61.887637,-179.827855
QXA,Phillips-Perry Airport,Diazbury,Cameroon,-37.585487,-68.428414
IKT,Ashley-Phelps Airport,Reynoldsland,Senegal,11.998720,-136.262776
LPE,Fischer-Maxwell Airport,Dianamouth,Latvia,-30.562222,-88.057426
NXH,Costa-Butler Airport,Lake Edwinbury,Saint Vincent and the Grenadines,80.752046,123.144876
MCI,Clark PLC Airport,Jenniferhaven,Niger,46.232272,-94.596383
QHN,Warner-Lozano Airport,South Sherryport,Saint Martin,-11.467021,35.222168
CCB,"Walker, Taylor and Thomas Airport",South Shaunburgh,Ireland,-7.866948,93.811494
HSQ,"Ellis, Wilson and Luna Airport",Johnsonstad,Liberia,30.545356,-98.519368
JZG,Velasquez-Parks Airport,North Davidmouth,Saudi Arabia,-88.767960,-177.816080
YAW,Hubbard and Sons Airport,Stephaniefort,Malaysia,-79.642018,-165.894772
AAV,"Johnston, Nguyen and Little Airport",Port Scott,Saint Helena,-65.295194,90.337791
KYU,"Middleton, Peters and Mcdonald Airport",South Dawnborough,France,35.762376,1.572477
EHH,Mason Ltd Airport,Nataliefurt,Chile,69.091200,125.198302
MOG,"Brown, Manning and Robinson Airport",Port Erikahaven,Saint Martin,52.081492,90.566386
WDH,"Sanchez, Mcdaniel and Anderson Airport",Port Sarahfurt,Oman,-11.802266,-149.999021
NZQ,"Gutierrez, Santiago and Moore Airport",East Susan,Serbia,-31.683932,8.513011
QKR,"Ward, Bean and Tran Airport",North Amyburgh,France,7.651277,-137.693789
YHY,Rios-Jones Airport,Lake Stephanie,Azerbaijan,77.085217,-139.488546
DAU,Todd LLC Airport,Tammybury,Trinidad and Tobago,-20.464224,38.381864
YSZ,Chan-Howard Airport,Lake Charles,Maldives,-80.690864,143.311696
GIU,Price Inc Airport,Williamside,Kuwait,-47.699368,150.918850
DUG,Gonzalez-Harvey Airport,Villarrealshire,Brunei Darussalam,-57.137389,16.881060
